CRPS,RMSE,MAE,NSE,Event_NSE,Log_NSE,KGE,Reservoir,Basin
996.4656324123723,1711.3195178519154,1135.0946231736946,-3.6548137024822376,-3.6548137024822376,-23.52712037667292,-0.3416686663391837,Nagarjuna Sagar,krishna
992.8220094908198,1433.791614744174,814.8355043470218,0.737391915174854,0.7378147230558978,-4.972073033345573,0.45347802908916035,Srisailam,krishna
1057.3781626576138,3597.937084310012,1186.577467344899,0.45278163924291026,0.28637485189070766,-0.761545220393697,0.24567849934613595,Almatti,krishna
603.4961710286887,1854.1889533237334,628.9882646155172,0.39526737229258224,0.36924861798617237,-0.4761051371911642,0.3007877265667742,Tungabhadra,krishna
318.0727671807481,499.0332788803603,314.4476317369564,0.0184540702765863,0.0184540702765863,0.1320978372492988,0.22850610520122117,Mettur,cauvery
259.498176487737,719.0794331765893,280.8676857604608,0.28825731826984924,0.28825731826984924,0.5842807185692906,0.22170294700152215,Krishnaraja Sagara,cauvery
136.53631522217646,245.5329173188084,139.52244362714202,0.3447178705496965,0.051263285992628416,-1.4699885351208728,0.3691947186363582,Jayakwadi,godavari
575.5872570017015,1262.4786863827223,783.5290001005011,0.2546694290778343,-1.02416387349855,0.4642857667305399,-0.15452605288608257,Ujjani,krishna
3746.178426768079,12334.02237478,3802.6544050766443,0.20884832004756737,0.20884832004756737,0.5398471200218025,0.18026459714216636,Sardar Sarovar,narmada
412.7908257914822,849.1744828442168,438.71584360452346,0.6621399629061233,0.5684463573457609,-0.01743217028197197,0.5304528324529405,Ukai,tapi
