CRPS,RMSE,MAE,NSE,Event_NSE,Log_NSE,KGE,Reservoir,Basin
597.977298587782,1191.1512606675462,773.336637723679,-1.255142171346887,-1.255142171346887,-6.5027887382652585,0.03490728427579182,Nagarjuna Sagar,krishna
623.1358885283593,1048.4282047353104,537.8495665280625,0.8595850299473132,0.8594607453258796,-1.7042514917497766,0.8171971572036346,Srisailam,krishna
667.9327162447491,2375.476238154262,827.6272154823622,0.7614634616970649,0.6905041982155912,-0.7718350674317322,0.5626540276316927,Almatti,krishna
410.21924465940856,1469.894289695486,522.5610444483257,0.6199614714522406,0.6027050108269709,-0.35778338268807364,0.6188884173810327,Tungabhadra,krishna
211.88254557354264,418.08549318904335,253.6196251283575,0.31105935531044404,0.31105935531044404,0.40035181209385184,0.401226560219907,Mettur,cauvery
213.1429776317931,716.3256286352497,271.3771685975803,0.29369829490209076,0.29369829490209076,0.49515211528851644,0.40171608078244736,Krishnaraja Sagara,cauvery
102.25166438033412,274.5428610071634,119.81559984522875,0.1807259734971245,-0.560530221588629,-1.050578890722346,0.46335951748353854,Jayakwadi,godavari
435.75306090780134,1109.4421877359584,546.3910854755899,0.4244140586922349,-0.7131877771751907,0.583783561168361,0.26875016078557656,Ujjani,krishna
3345.451724386676,13055.237938217324,3749.459200825533,0.11362015211937504,0.11362015211937504,0.5744734189529521,0.21897539999184878,Sardar Sarovar,narmada
355.5731828542277,948.0362618884037,441.60311130271685,0.5788926196475979,0.45625861581697746,0.24035561963704732,0.6520906707388041,Ukai,tapi
